순번,분류,2022년 11월 매매가격지수,2022년 12월 매매가격지수,2023년 1월 매매가격지수
1,전국,101.1,98.2,96.1
2,수도권,101.2,97.5,94.9
3,지방권,101.1,98.8,97.2
4,6대광역시,98.9,95.8,93.7
5,5대광역시,98.4,95.8,93.8
6,9개도,103.1,100.3,98.2
7,8개도,103.9,102.2,100.9
8,서울,99.3,96.3,94.6
9,경기,102.3,98.4,95.5
10,인천,100.8,96.1,93.4
11,부산,101.2,98.7,96.4
12,대구,91.3,88.1,85.9
13,광주,103.5,101.4,99.9
14,대전,97.8,94.9,92.9
15,울산,99,96.8,95.3
16,세종,84.8,79.8,76.1
17,강원,105.3,104.4,103.9
18,충북,105.5,103.9,102.8
19,충남,104.3,103.1,102
20,전북,106.5,104.8,103.8
21,전남,99,97.8,96.3
22,경북,102.7,101,100.1
23,경남,103.4,100.6,98.6
24,제주,109.1,107.3,106.5
