CustomerId,"이탈(1),유지(0)",이탈확률(%),실제이탈여부
15656901,0,7.3,0
15750264,1,82.1,1
15709917,0,1.74,0
15674851,0,30.57,0
15663410,0,12.64,0
15570855,0,1.0,0
15603554,0,8.14,0
15712121,0,8.91,0
15813095,1,92.25,1
15796958,1,55.29,0
15585249,0,32.27,0
15583480,0,5.19,0
15651052,1,51.01,1
15745324,1,95.07,1
15673180,0,12.72,0
15636700,0,6.55,0
15574886,0,16.04,0
15587038,0,5.53,0
15604576,0,42.57,0
15758025,0,3.37,0
15661821,0,7.2,0
15566030,0,2.94,0
15757981,0,1.67,0
15750808,0,0.96,0
15593468,1,94.46,1
15696047,0,14.12,1
15697801,0,15.56,0
15689612,0,19.59,0
15661548,0,14.58,0
15765266,0,9.77,0
15765461,0,37.38,0
15781452,0,1.64,0
15742854,0,2.94,0
15774554,1,86.96,1
15657527,0,4.02,0
15713608,0,8.91,0
15739592,0,1.21,0
15610416,0,31.52,1
15795895,0,2.95,0
15764343,1,91.07,1
15785875,0,20.51,0
15612444,0,1.68,0
15729763,0,0.94,0
15778025,1,55.75,0
15665062,0,4.16,0
15737732,1,67.31,1
15750447,0,8.89,0
15728005,0,20.02,0
15780256,0,3.44,0
15682585,1,70.98,1
15602762,1,62.58,1
15711572,1,92.28,1
15718667,0,8.72,0
15642394,0,0.89,0
15642093,0,38.61,0
15652266,0,4.26,0
15605872,0,1.71,0
15603840,0,3.93,0
15640953,1,77.31,1
15641629,1,73.4,0
15756538,0,2.64,0
15762928,1,66.85,1
15598751,0,4.98,0
15736138,0,3.9,0
15637324,0,30.69,0
15646168,0,14.29,0
15603065,0,48.89,1
15731148,0,0.79,0
15629519,0,1.94,0
15690939,0,0.87,0
15783398,0,20.21,0
15683363,0,1.28,0
15763665,0,29.24,1
15665531,0,4.88,0
15593694,1,61.38,1
15796071,0,0.92,0
15587562,0,2.67,0
15803976,0,23.8,1
15782939,0,9.47,0
15791131,1,66.3,0
15788042,0,0.96,0
15713604,0,48.42,1
15813132,0,4.46,0
15617648,0,27.72,0
15803406,0,3.95,0
15745827,0,22.81,0
15707861,0,42.85,0
15762268,0,2.82,0
15795543,0,5.32,0
15665093,0,2.82,0
15653595,0,10.86,0
15670584,0,7.59,1
15658067,0,34.19,0
15642530,0,4.66,0
15583548,0,0.74,0
15767339,0,28.11,1
15595874,0,4.54,0
15640121,0,47.48,1
15583456,0,17.36,0
15656627,0,11.47,0
15702175,0,5.42,0
15682451,0,0.78,0
15673877,1,60.42,0
15643575,1,50.24,1
15578307,0,19.89,0
15734987,0,15.31,1
15702801,0,5.84,0
15707488,1,72.83,1
15627848,0,8.28,0
15666096,0,4.42,0
15671172,0,12.79,0
15756535,0,0.89,0
15796969,0,1.89,0
15659100,0,15.61,0
15682528,0,1.39,0
15683403,0,31.68,0
15782850,0,3.65,1
15635752,0,1.72,0
15662294,1,66.58,1
15748589,0,4.24,0
15736250,0,35.06,0
15682533,0,17.88,0
15700223,1,62.26,1
15668032,0,2.95,0
15727197,1,74.16,1
15735782,0,0.88,0
15724691,1,71.58,0
15721779,1,72.69,1
15733597,1,88.22,1
15682527,1,55.66,1
15631189,1,57.76,0
15747043,0,4.31,0
15711889,0,1.87,0
15784597,0,1.44,0
15572708,0,1.79,0
15783522,1,57.2,1
15702631,1,70.41,0
15604345,0,7.83,0
15666096,0,4.54,0
15812338,1,89.45,1
15588517,0,1.56,0
15762937,0,3.39,0
15692819,0,13.16,0
15596974,1,84.21,1
15725679,0,4.25,0
15762332,0,1.41,0
15627365,0,3.61,0
15587297,0,7.48,0
15709511,0,38.53,0
15631310,1,95.68,1
15686885,0,40.67,1
15667944,1,79.17,0
15791321,1,50.6,0
15699550,0,2.73,0
15608873,0,0.77,0
15702293,0,1.35,0
15784594,0,6.4,0
15642835,0,6.34,0
15654346,0,3.55,0
15723884,0,1.18,0
15628298,0,3.66,0
15788494,1,70.33,1
15642448,0,12.29,0
15717898,0,0.9,0
15773392,0,1.68,0
15768474,0,0.75,0
15704014,0,19.71,0
15743293,0,24.98,0
15591279,0,16.89,1
15631063,0,0.86,0
15585985,0,2.3,0
15658375,0,14.61,1
15646535,1,66.89,0
15595047,0,2.93,0
15590810,0,1.57,0
15779743,0,39.53,0
15622774,0,14.3,0
15661349,0,8.29,0
15738954,0,0.72,0
15812121,0,17.21,0
15685576,0,1.03,0
15803526,0,3.28,0
15656913,0,49.55,1
15726490,1,80.18,1
15796167,1,94.75,1
15681629,0,6.44,0
15759066,0,3.93,0
15726186,0,37.35,0
15769051,0,15.29,1
15641316,0,40.66,0
15635285,0,0.86,0
15672467,0,17.73,0
15740237,0,20.19,0
15686885,0,0.62,0
15766048,0,2.8,0
15754574,0,1.39,0
15578073,0,1.49,0
15677136,0,1.94,0
15697534,0,2.9,0
15791958,0,26.84,0
15584967,0,35.98,0
15754574,0,14.82,1
15743490,0,11.24,0
15733883,1,67.95,1
15770291,0,1.65,0
15693326,0,14.61,0
15730460,0,3.84,0
15702631,0,8.64,0
15599535,0,3.22,0
15780359,0,7.38,0
15649414,0,11.01,0
15809909,1,65.38,1
15645511,0,11.29,0
15591489,0,1.46,0
15686963,0,1.66,0
15750181,0,7.6,1
15694404,0,5.97,0
15592761,0,11.76,1
15606841,0,21.7,0
15719479,0,5.25,0
15673372,0,25.29,1
15583849,0,1.31,0
15665811,0,4.86,0
15586479,0,41.14,1
15618774,0,1.23,0
15793641,0,2.32,0
15638806,0,6.2,0
15614778,0,8.42,0
15711455,0,37.72,0
15691910,1,95.25,1
15677784,0,22.17,0
15595557,1,89.66,1
15677105,0,8.11,0
15687553,0,31.19,1
15736413,1,55.8,1
15573077,1,64.32,1
15648069,0,1.52,0
15730793,1,92.94,1
15642394,0,9.28,0
15796813,0,12.27,0
15805429,0,25.44,0
15626474,0,8.93,0
15693233,0,4.3,0
15702601,0,31.04,0
15632069,0,38.02,0
15774151,0,4.18,0
15766185,0,8.32,0
15778089,0,29.48,0
15772479,0,11.22,0
15648032,1,67.75,0
15695475,1,68.36,1
15765375,0,25.24,0
15756125,0,2.3,0
15659736,0,19.23,0
15662263,0,17.55,0
15758025,1,60.59,1
15772341,0,1.98,0
15791767,0,16.03,1
15670602,0,14.25,0
15723339,0,1.39,0
15663134,0,5.03,0
15665521,0,10.55,1
15648889,0,19.0,0
15694409,0,3.27,0
15598839,0,5.78,0
15644551,0,1.14,0
15692599,0,0.89,0
15770188,0,1.89,0
15623489,0,1.28,0
15675501,0,15.09,0
15690796,0,2.88,0
15621207,0,3.79,0
15778947,0,38.15,0
15613014,0,1.69,0
